 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00 
 2.00000000e-14  0.00000000e+00  2.00000000e-14  1.80000000e+00 
 4.00000000e-14  0.00000000e+00  4.00000000e-14  1.80000000e+00 
 8.00000000e-14  0.00000000e+00  8.00000000e-14  1.80000000e+00 
 1.60000000e-13  0.00000000e+00  1.60000000e-13  1.80000000e+00 
 3.20000000e-13  0.00000000e+00  3.20000000e-13  1.80000000e+00 
 6.40000000e-13  0.00000000e+00  6.40000000e-13  1.80000000e+00 
 1.28000000e-12  0.00000000e+00  1.28000000e-12  1.80000000e+00 
 2.56000000e-12  0.00000000e+00  2.56000000e-12  1.80000000e+00 
 4.56000000e-12  0.00000000e+00  4.56000000e-12  1.80000000e+00 
 6.56000000e-12  0.00000000e+00  6.56000000e-12  1.80000000e+00 
 8.56000000e-12  0.00000000e+00  8.56000000e-12  1.80000000e+00 
 1.05600000e-11  0.00000000e+00  1.05600000e-11  1.80000000e+00 
 1.25600000e-11  0.00000000e+00  1.25600000e-11  1.80000000e+00 
 1.45600000e-11  0.00000000e+00  1.45600000e-11  1.80000000e+00 
 1.65600000e-11  0.00000000e+00  1.65600000e-11  1.80000000e+00 
 1.85600000e-11  0.00000000e+00  1.85600000e-11  1.80000000e+00 
 2.05600000e-11  0.00000000e+00  2.05600000e-11  1.80000000e+00 
 2.25600000e-11  0.00000000e+00  2.25600000e-11  1.80000000e+00 
 2.45600000e-11  0.00000000e+00  2.45600000e-11  1.80000000e+00 
 2.65600000e-11  0.00000000e+00  2.65600000e-11  1.80000000e+00 
 2.85600000e-11  0.00000000e+00  2.85600000e-11  1.80000000e+00 
 3.05600000e-11  0.00000000e+00  3.05600000e-11  1.80000000e+00 
 3.25600000e-11  0.00000000e+00  3.25600000e-11  1.80000000e+00 
 3.45600000e-11  0.00000000e+00  3.45600000e-11  1.80000000e+00 
 3.65600000e-11  0.00000000e+00  3.65600000e-11  1.80000000e+00 
 3.85600000e-11  0.00000000e+00  3.85600000e-11  1.80000000e+00 
 4.05600000e-11  0.00000000e+00  4.05600000e-11  1.80000000e+00 
 4.25600000e-11  0.00000000e+00  4.25600000e-11  1.80000000e+00 
 4.45600000e-11  0.00000000e+00  4.45600000e-11  1.80000000e+00 
 4.65600000e-11  0.00000000e+00  4.65600000e-11  1.80000000e+00 
 4.85600000e-11  0.00000000e+00  4.85600000e-11  1.80000000e+00 
 5.05600000e-11  0.00000000e+00  5.05600000e-11  1.80000000e+00 
 5.25600000e-11  0.00000000e+00  5.25600000e-11  1.80000000e+00 
 5.45600000e-11  0.00000000e+00  5.45600000e-11  1.80000000e+00 
 5.65600000e-11  0.00000000e+00  5.65600000e-11  1.80000000e+00 
 5.85600000e-11  0.00000000e+00  5.85600000e-11  1.80000000e+00 
 6.05600000e-11  0.00000000e+00  6.05600000e-11  1.80000000e+00 
 6.25600000e-11  0.00000000e+00  6.25600000e-11  1.80000000e+00 
 6.45600000e-11  0.00000000e+00  6.45600000e-11  1.80000000e+00 
 6.65600000e-11  0.00000000e+00  6.65600000e-11  1.80000000e+00 
 6.85600000e-11  0.00000000e+00  6.85600000e-11  1.80000000e+00 
 7.05600000e-11  0.00000000e+00  7.05600000e-11  1.80000000e+00 
 7.25600000e-11  0.00000000e+00  7.25600000e-11  1.80000000e+00 
 7.45600000e-11  0.00000000e+00  7.45600000e-11  1.80000000e+00 
